time,target_x,target_y,target_z,theta1_cmd,theta2_cmd,theta3_cmd,theta1_meas,theta2_meas,theta3_meas,sim_x,sim_y,sim_z,error_x,error_y,error_z
0,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-263.277315152675,-6.368,-1.689,5.69900748814689e-09
100,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.69931265546606e-15,2.11121588593157e-15,-263.277315152156,-6.41897612625599,-1.68942837080888,5.18002707394771e-09
200,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-3.39862531093212e-15,4.22243177186313e-15,-263.277315151637,-6.487,-1.69,4.66104665974854e-09
300,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-5.09793796639819e-15,6.3336476577947e-15,-263.277315151118,-6.48699999999999,-1.69000000000001,4.1420094021305e-09
400,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-6.79725062186425e-15,8.44486354372626e-15,-263.277315150599,-6.48699999999999,-1.69000000000001,3.62302898793132e-09
500,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-8.49656327733031e-15,1.05560794296578e-14,-263.27731515008,-6.44896315031606,-1.68968036260771,3.10404857373214e-09
600,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.01958759327964e-14,1.26672953155894e-14,-263.27731514956,-6.36799999999999,-1.68900000000001,2.58404497799347e-09
700,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.18951885882624e-14,1.4778511201521e-14,-263.277315149041,-6.36799999999999,-1.68900000000001,2.06500772037543e-09
800,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.35945012437285e-14,1.68897270874525e-14,-263.277315148522,-6.36799999999999,-1.68900000000002,0
900,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.52938138991946e-14,1.90009429733841e-14,-263.277315148003,-6.36799999999999,-1.68900000000002,0
1000,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.69931265546606e-14,2.11121588593157e-14,-263.277315147484,-6.36799999999998,-1.68900000000002,0
1100,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-1.87203380935698e-14,2.32455242226692e-14,-263.277315146976,-6.4237720944566,-1.68946867306268,0
1200,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-2.18145949211925e-14,2.64642139796972e-14,-263.277315146976,-6.48699999999998,-1.69000000000003,0
1300,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-2.49088517488152e-14,2.96829037367253e-14,-263.277315146976,-6.48699999999998,-1.69000000000003,0
1400,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-2.80031085764379e-14,3.29015934937534e-14,-263.277315146976,-6.48699999999997,-1.69000000000003,0
1500,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-3.10973654040606e-14,3.61202832507815e-14,-263.277315146976,-6.48699999999997,-1.69000000000004,0
1600,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-3.41916222316833e-14,3.93389730078096e-14,-263.277315146976,-6.48699999999997,-1.69000000000004,0
1700,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-3.7285879059306e-14,4.25576627648376e-14,-263.277315146976,-6.48699999999996,-1.69000000000004,0
1800,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-4.03801358869287e-14,4.57763525218657e-14,-263.277315146976,-6.43332337250326,-1.68954893590343,0
1900,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-4.34743927145514e-14,4.89950422788938e-14,-263.277315146976,-6.38519117386719,-1.68914446364599,0
2000,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-4.65686495421741e-14,5.22137320359219e-14,-263.277315146976,-6.46737014120122,-1.68983504320342,0
2100,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-4.96629063697967e-14,5.54324217929499e-14,-263.277315146976,-6.42191509010268,-1.68945306798411,0
2200,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-5.26212058686671e-14,5.85068816831197e-14,-263.277315146976,-6.40244431991824,-1.6892894480666,0
2300,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-5.23165294774808e-14,5.81198247686898e-14,-263.277315146976,-6.48699999999995,-1.69000000000006,0
2400,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-5.20118530862945e-14,5.77327678542598e-14,-263.277315146976,-6.48699999999995,-1.69000000000006,0
2500,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-5.17071766951082e-14,5.73457109398299e-14,-263.277315146976,-6.48699999999995,-1.69000000000006,0
2600,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-5.14025003039219e-14,5.69586540253999e-14,-263.277315146976,-6.48699999999995,-1.69000000000006,0
2700,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-5.10978239127356e-14,5.657159711097e-14,-263.277315146976,-6.48699999999995,-1.69000000000006,0
2800,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-5.07931475215493e-14,5.618454019654e-14,-263.277315146976,-6.48699999999995,-1.69000000000006,0
2900,0.0,0.0,-263.27731514697575,0.0,0.0,0.0,0.0,0.0,0.0,-5.0488471130363e-14,5.57974832821101e-14,-263.277315146976,-6.48699999999995,-1.69000000000006,0
